Date,Open,High,Low,Close,Volume
2018-04-25,3562.37,3574.91,3555.23,3568.01,223134800
2018-04-26,3582.61,3582.61,3557.49,3570.02,240142096
2018-04-27,3586.08,3588.3,3569.27,3577.21,186884496
2018-04-30,3604.1,3628.43,3595.63,3613.93,255868544
2018-05-02,3624.2,3641.65,3607.25,3615.28,277667072
2018-05-03,3585.3,3587.69,3556.42,3575.68,165840880
2018-05-04,3574.54,3575.5,3533.18,3545.38,176065072
2018-05-07,3553.47,3554.9,3527.7,3532.86,149142400
2018-05-08,3536.85,3550.07,3522.37,3543.17,199946496
2018-05-09,3558.93,3562.42,3526.9,3548.54,206164896
2018-05-10,3547.31,3551.28,3536.54,3537.59,224182896
2018-05-11,3559.07,3576.18,3541.17,3570.17,306597088
2018-05-14,3569.11,3574.21,3550.78,3562.46,204278512
2018-05-15,3557.05,3566.75,3540.23,3540.23,331243104
2018-05-16,3532.97,3552.92,3521.94,3533.05,338672224
2018-05-17,3545.9,3550.62,3530.38,3536.76,236291152
2018-05-18,3528.41,3534.55,3517.73,3529.27,232509792
2018-05-21,3545.21,3569.36,3544.1,3548.23,211293600
2018-05-22,3542.8,3563.14,3537.03,3543.18,160429216
2018-05-23,3540.92,3541.39,3493.93,3496.27,308069472
2018-05-24,3508.87,3532.92,3497.98,3528.92,260569120
2018-05-25,3522.99,3532.36,3511.88,3513.23,249310592
2018-05-28,3517.37,3529.26,3513.77,3518.48,219608272
2018-05-30,3453.48,3467.08,3437.12,3443.95,514013888
2018-05-31,3476.46,3478.05,3428.18,3428.18,1129509120
2018-06-01,3423.5,3433.2,3417.86,3427.51,413675040
2018-06-04,3441.2,3467.48,3441.2,3467.48,194075392
2018-06-05,3479.78,3487.13,3472.48,3483.16,286440288
2018-06-06,3483.32,3492.34,3460.29,3467.81,354082176
2018-06-07,3488.25,3489.41,3460.49,3473.08,273025568
2018-06-08,3460.26,3474.09,3432.18,3436.37,318114464
2018-06-11,3450.07,3452.98,3427.14,3441.69,220591248
2018-06-12,3438.58,3449.4,3428.54,3430.69,219943392
2018-06-13,3429.86,3432.64,3388.92,3392.51,243818656
2018-06-14,3380.37,3388.88,3345.18,3356.73,466035008
2018-06-18,3314.08,3335.68,3299.81,3324.04,309648480
2018-06-19,3324.99,3341.64,3297.25,3301.35,328582816
2018-06-20,3309.93,3333.93,3297.67,3315.9,242969696
2018-06-21,3315.23,3326.59,3299.05,3300,230763040
2018-06-22,3289.43,3294.84,3270.15,3287.4,265501600
2018-06-25,3279.53,3285.69,3246.92,3260.84,236021728
2018-06-26,3245.79,3285.23,3237.77,3280.87,243834400
2018-06-27,3281.71,3296.29,3251.36,3254.77,276320512
2018-06-28,3245.92,3266.69,3244.18,3257.57,255048992
2018-06-29,3269.2,3286.92,3251.12,3268.7,292601824
2018-07-02,3277.43,3280.19,3231.68,3238.94,209289696
2018-07-03,3245.67,3254.88,3218.62,3235.9,268721216
2018-07-04,3230.59,3249.52,3224.62,3244.89,220444608
2018-07-05,3247.37,3265.59,3239.14,3256.71,212071872
2018-07-06,3232.96,3233.84,3176.26,3191.82,394698112
2018-07-09,3197.79,3233.43,3196.15,3228.82,289550496
2018-07-10,3259.15,3274.85,3249.85,3274.83,316048896
2018-07-11,3239.43,3251.52,3220.15,3249.08,269217536
2018-07-12,3247.86,3263.42,3240.22,3253.01,256828256
2018-07-13,3257.53,3265.92,3251.85,3260.35,191959808
2018-07-16,3260.83,3267.11,3231.09,3232.79,169603696
2018-07-17,3240.35,3247.84,3226.05,3239.64,228694896
2018-07-18,3251.28,3258.93,3239.93,3240.5,242573168
2018-07-19,3255.95,3283.92,3249.73,3277.58,181600000
2018-07-20,3291.44,3298.77,3281.34,3297.83,199602896
2018-07-23,3294.52,3297.94,3278.14,3293.71,177514080
2018-07-24,3295.32,3308.42,3286.43,3292.65,252493696
2018-07-25,3304.55,3333.38,3301.85,3326.83,237223104
2018-07-26,3328.44,3341.42,3322.82,3328.6,235416608
2018-07-27,3332.92,3336.22,3310.74,3324.98,161176896
2018-07-30,3314.55,3320.1,3301.12,3307.15,128308896
2018-07-31,3284.4,3331.27,3284.22,3319.85,341854592
2018-08-01,3331.05,3338.92,3308.9,3328.95,210366560
2018-08-02,3329.05,3329.19,3278.84,3286.32,191130704
2018-08-03,3300.59,3311.64,3264.61,3265.73,199211632
2018-08-06,3284.68,3305.23,3278.15,3285.34,278496800
2018-08-07,3297.91,3347.98,3297.78,3340,281899584
2018-08-08,3336.22,3341.52,3308.72,3326.74,309429568
2018-08-10,3295.73,3296.08,3273.57,3284.78,284681856
2018-08-13,3267.94,3268.77,3239.32,3245.34,290510912
2018-08-14,3243.27,3253.09,3231.97,3242.87,236715808
2018-08-15,3240.93,3242.06,3217.89,3234.12,310690304
2018-08-16,3220.85,3230.75,3207.25,3211.93,222183904
2018-08-17,3233.88,3244.12,3203.33,3209.44,257454400
2018-08-20,3211.08,3222.84,3200.54,3204.71,219423296
2018-08-21,3194.18,3212.14,3187.83,3199.89,176836304
2018-08-23,3230.19,3256.24,3229.93,3249.89,354385312
2018-08-24,3239.09,3239.47,3211.48,3213,215330768
2018-08-27,3223.41,3237.66,3222.12,3225.62,176150352
2018-08-28,3244.26,3263.14,3239.27,3247.55,213162304
2018-08-29,3251.01,3256.61,3239.44,3243.92,154200624
2018-08-30,3247.14,3252.58,3217.32,3225.72,207470400
2018-08-31,3200.37,3227.6,3199.34,3213.48,370878432
2018-09-03,3209.97,3213.89,3193.86,3207.2,253678784
2018-09-04,3205.58,3218.76,3203.02,3210.51,155396896
2018-09-05,3199.63,3208.81,3151.83,3156.28,196372896
2018-09-06,3158.83,3166.51,3139.99,3147.69,244424704
2018-09-07,3133.97,3140.03,3119.89,3134.39,234505088
2018-09-10,3131.2,3131.44,3105.36,3120.92,207303296
2018-09-11,3115.47,3119.01,3103.94,3109.91,184106000
2018-09-12,3106.99,3132.11,3102.73,3124.65,223062800
2018-09-13,3129.92,3139.48,3114.74,3131.77,220516480
2018-09-14,3146.22,3163.85,3142.96,3161.42,205642896
2018-09-17,3149.71,3150.83,3133.37,3141.4,136272400
2018-09-18,3122.88,3140.22,3110.79,3139.34,208219296
2018-09-19,3143.46,3181.5,3139.49,3176.57,211498800
2018-09-20,3180.43,3189.31,3172.64,3180.43,172136096
2018-09-21,3206.94,3225.4,3199.89,3217.68,399300992
2018-09-24,3215.69,3232.61,3213.28,3219.16,153755008
2018-09-25,3229.9,3243.24,3226.49,3236.08,175286096
2018-09-26,3248.81,3265.01,3237.91,3239.1,179680400
2018-09-27,3244.2,3263.08,3232.21,3236.26,211514912
2018-09-28,3250.31,3262.17,3244.51,3257.05,314079392
2018-10-01,3262.43,3268.49,3246.79,3255.46,168933568
2018-10-02,3248.5,3253.62,3231.56,3242.65,175318320
2018-10-03,3257.31,3272.88,3252.39,3267.4,250172000
2018-10-04,3246.97,3248.53,3226.86,3231.59,224805680
2018-10-05,3224.35,3230.01,3198.72,3209.79,180419392
2018-10-08,3198.24,3202.89,3179.82,3181.45,180453376
2018-10-09,3180.6,3187.18,3160.85,3166.6,212899520
2018-10-10,3169.33,3169.57,3129.5,3131.48,246192496
2018-10-11,3074.77,3074.77,3035.2,3047.39,404487872
2018-10-12,3055.17,3088.77,3043.28,3069.17,351501248
2018-10-15,3067.8,3067.8,3045.53,3045.97,217864400
2018-10-16,3053.24,3058.97,3030.21,3034.31,267229600
2018-10-17,3077.86,3087.84,3071.1,3071.1,282458688
2018-10-18,3064.06,3074.74,3050.64,3069.67,212001264
2018-10-19,3046.87,3073.21,3046.7,3062.51,291172608
2018-10-22,3057.31,3078.06,3057.16,3078.06,212014830
2018-10-23,3057.65,3061.12,3029.6,3031.39,211220502
2018-10-24,3044.33,3053.07,3031.94,3032.08,232738800
2018-10-25,2992,3012.84,2984.47,3012.84,303350100
2018-10-26,3004.35,3006.92,2955.68,2972.02,324985000
2018-10-29,2989.63,3005.03,2978.64,2981.54,233252500
2018-10-30,2969.51,2974.85,2961.23,2966.45,190171200
2018-10-31,2978.99,3020.49,2978.66,3018.8,313672300
2018-11-01,3045.68,3061.49,3040.93,3060.85,230549388
2018-11-02,3081.67,3121.27,3077.5,3116.39,328111300
2018-11-05,3087.51,3091.91,3056.42,3060.62,172939500
2018-11-07,3084.5,3092.95,3060.88,3065.36,223316800
